country,developed,renewable_eng,gdppc_growth,capital_formation,pop_growth,trade
United Arab Emirates,1,0.145671401,4.100219468,22.58576031,0.176677484,168.4923078
Albania,0,38.68950076,1.985426103,-5.580156244,-0.207047,75.40783406
Armenia,0,7.72473444,3.07285853,-0.654199671,0.51012273,75.77886696
Angola,0,50.79746068,1.219834735,3.451684152,3.497492744,79.33292751
Argentina,1,10.90195793,-3.57858051,-6.223530585,1.099461091,28.40679365
Austria,1,35.39427334,-0.122370667,0.7034231,0.781541633,103.5035353
Australia,1,9.278198457,1.015114223,-2.148686464,1.491566489,42.50649034
Azerbaijan,0,2.116818616,1.522431572,1.478734607,1.248208997,69.4832252
Bosnia and Herzegovina,0,41.74546278,2.911383074,8.423753509,-1.722562344,90.55228116
Bangladesh,0,37.63448349,4.856108324,9.855051328,1.142594657,44.5140802
Belgium,1,9.073995098,1.128595725,5.411337772,0.443929288,158.7832159
Burkina Faso,0,75.24264911,1.282101663,-10.89306688,2.961900814,58.82356249
Bulgaria,1,16.96662481,2.466219592,6.87086691,-0.568389264,130.5892665
Bahrain,1,0,2.706652046,4.86623381,1.587749264,175.5678369
Burundi,0,94.59818282,1.021529748,-9.59530647,3.136852423,41.75769218
Benin,0,52.53798821,3.439399576,9.232290939,2.782181506,65.26827494
Brunei Darussalam,1,0.013976191,-3.780740986,-31.15484336,1.313717171,102.4209688
Bolivia,0,16.8179625,3.843759712,12.51003962,1.544967683,85.2644696
Brazil,0,41.84187872,-0.352479218,-4.224059662,0.855792023,24.68540582
"Bahamas, The",1,1.088802769,0.109572728,13.07727161,0.93928457,86.77328198
Bhutan,0,87.025618,4.479326699,26.83137218,1.233911551,98.30909802
Botswana,0,28.80052102,2.848876228,-1.909694881,1.256439448,113.8846926
Belarus,1,6.634180601,1.63497133,-5.546023127,0.089902558,110.6514244
Belize,0,36.90616801,1.391470821,5.723431257,2.188961079,127.5883029
Canada,1,22.02465154,1.841026124,0.819585106,1.005337579,64.37866216
