country,developed,renewable_eng,gdppc_growth,capital_formation,pop_growth,trade
Albania,0,41.28897372,1.187203907,-1.779710807,-0.183211385,75.87378166
Algeria,0,0.140451785,0.761674962,8.489272351,2.002727839,63.61082367
Angola,0,50.68611601,1.292041412,1.646424292,3.551950467,86.81193078
Argentina,1,10.2103229,1.265685175,4.669025524,1.1191092,29.333929
Armenia,0,6.771217636,2.82388904,-7.235002442,0.461966644,77.55504816
Australia,1,9.08848191,0.834364138,1.729198403,1.72115144,41.20843035
Austria,1,34.68060041,-0.562298943,-0.734698462,0.589387255,104.0664141
Azerbaijan,0,2.52609484,4.483203027,19.44731819,1.293447027,74.67584476
"Bahamas, The",1,0.843903144,-3.628949396,-10.60035204,0.980915204,84.93527876
Bahrain,1,0,4.207498841,15.99809148,1.153830127,191.8725541
Bangladesh,0,38.76048127,4.794396988,5.364641791,1.156713453,46.29640272
Belarus,1,7.009208669,0.987444297,8.707626003,0.015868579,119.8159652
Belgium,1,8.129434523,-0.013148386,-3.785948861,0.471340144,157.850845
Belize,0,34.6588617,-0.95854033,24.34247597,2.256884073,131.9538211
Benin,0,52.71099969,4.241378271,40.66840995,2.790718131,59.20019183
Bhutan,0,87.03783621,0.875532934,-36.9187454,1.22609147,105.1993064
Bolivia,0,18.63526119,5.127573021,16.04455855,1.574598408,81.23090757
Bosnia and Herzegovina,0,19.47739656,4.151709681,-3.389134497,-1.745167149,87.93124206
Botswana,0,29.21884894,10.10258082,-12.63929493,1.120660803,122.5535568
Brazil,0,42.44784254,2.108911835,5.827330437,0.873603191,25.78597608
Brunei Darussalam,1,0.013528143,-3.440627445,11.94638704,1.352256699,110.9368788
Bulgaria,1,18.15701907,0.888813875,-5.32370724,-0.559647217,130.061302
Burkina Faso,0,75.42696802,2.684827068,-2.048558295,2.981606475,64.0358513
Burundi,0,94.06924338,1.687469876,-0.132406357,3.13340508,46.60001311
Cabo Verde,0,26.12546743,-0.480116296,-12.92592191,1.280864881,95.33908878
Cambodia,0,68.972156,5.599972823,14.11820111,1.64984965,130.0464867
Cameroon,0,77.61457827,2.577710656,6.811978494,2.718244285,55.60547716
Canada,1,22.37967975,1.253613813,3.63753311,1.056591259,62.2310749
Central African Republic,0,77.07997749,-36.55681955,-26.86646569,0.259489943,38.39928757
Chad,0,89.4572677,2.216698377,1.028331063,3.350985214,72.64891576
Chile,1,30.17723846,3.03152589,-0.116455698,0.978852117,64.97347661
China,0,11.8381669,7.23540947,9.368834224,0.493709634,46.74437558
Colombia,0,24.47048951,4.184821897,7.806624218,0.906920982,37.9866488
Comoros,0,44.08142649,2.014724713,6.528571659,2.406870493,39.24329527
"Congo, Dem. Rep.",0,94.01274826,4.927562523,-0.726588198,3.331362952,77.46594515
"Congo, Rep.",0,62.68742746,-3.130060248,9.482878329,2.465109065,93.00297613
Costa Rica,0,38.07484182,1.102147306,-3.322325579,1.147549943,65.61837454
Cote d'Ivoire,0,72.57985296,6.225706887,23.21258426,2.476674322,80.12682964
Croatia,1,32.8375106,-0.169441845,4.432152721,-0.278509063,82.68869219
